year,month,songid,week_position
2000,12,The Christmas ShoesNewSong,68.0
2001,1,The Christmas ShoesNewSong,42.0
2001,1,Where Are You Christmas?Faith Hill,65.0
2005,11,Better DaysGoo Goo Dolls,76.75
2005,12,BelieveBrooks & Dunn,96.0
2005,12,Better DaysGoo Goo Dolls,61.2
2006,1,BelieveBrooks & Dunn,89.0
2006,1,Better DaysGoo Goo Dolls,52.5
2006,12,A Great Big SledThe Killers Featuring Toni Halliday,54.0
2006,12,Greatest Time Of YearAly & AJ,96.0
2006,12,Happy Xmas (War Is Over)The Fray,50.0
2006,12,RiverSarah McLachlan,74.5
2007,1,A Great Big SledThe Killers Featuring Toni Halliday,88.0
2007,1,Happy Xmas (War Is Over)The Fray,89.0
2007,1,RiverSarah McLachlan,85.0
2007,12,MistletoeColbie Caillat,86.75
2007,12,This ChristmasChris Brown,84.75
2008,1,This ChristmasChris Brown,62.0
2009,12,Last ChristmasGlee Cast,76.0
2010,12,"Baby, It's Cold OutsideGlee Cast",57.0
2010,12,Christmas LightsColdplay,30.0
2010,12,Welcome ChristmasGlee Cast,59.0
2011,1,"Baby, It's Cold OutsideGlee Cast",99.0
2011,1,Christmas LightsColdplay,83.0
2011,1,Oh Santa!Mariah Carey,100.0
2011,1,Shake Up ChristmasTrain,99.0
2011,11,MistletoeJustin Bieber,57.0
2011,12,All I Want For Christmas Is YouMichael Buble,99.0
2011,12,Do They Know It's Christmas?Glee Cast,92.0
2011,12,I'll Be Home For ChristmasKelly Clarkson,93.0
2011,12,It's Beginning To Look A Lot Like ChristmasMichael Buble,96.0
2011,12,MistletoeJustin Bieber,53.2
2012,1,MistletoeJustin Bieber,36.0
2012,12,All I Want For Christmas Is YouMariah Carey,27.0
2013,1,All I Want For Christmas Is YouMariah Carey,21.0
2013,12,All I Want For Christmas Is YouMariah Carey,26.5
2013,12,Last ChristmasAriana Grande,96.0
2013,12,Underneath The TreeKelly Clarkson,86.0
2014,1,All I Want For Christmas Is YouMariah Carey,26.0
2014,1,Rockin' Around The Christmas TreeBrenda Lee,50.0
2014,1,The Christmas Song (Merry Christmas To You)Nat King Cole,45.0
2014,1,Underneath The TreeKelly Clarkson,78.0
2014,12,All I Want For Christmas Is YouMariah Carey,45.0
2014,12,Have Yourself A Merry Little ChristmasSam Smith,90.0
2014,12,Santa Tell MeAriana Grande,73.66666666666667
2015,1,All I Want For Christmas Is YouMariah Carey,35.0
2015,1,Santa Tell MeAriana Grande,46.0
2015,12,All I Want For Christmas Is YouMariah Carey,24.0
2015,12,Rockin' Around The Christmas TreeBrenda Lee,44.0
2016,1,All I Want For Christmas Is YouMariah Carey,14.5
2016,1,Jingle Bell RockBobby Helms,47.0
2016,1,Rockin' Around The Christmas TreeBrenda Lee,34.0
2016,1,The Christmas Song (Merry Christmas To You)Nat King Cole,38.0
2016,12,All I Want For Christmas Is YouMariah Carey,20.0
2016,12,Jingle Bell RockBobby Helms,40.5
2016,12,Rockin' Around The Christmas TreeBrenda Lee,42.5
2017,1,A Holly Jolly ChristmasBurl Ives,46.0
2017,1,All I Want For Christmas Is YouMariah Carey,25.5
2017,1,Feliz NavidadJose Feliciano,44.0
2017,1,It's The Most Wonderful Time Of The YearAndy Williams,48.0
2017,1,Jingle Bell RockBobby Helms,29.0
2017,1,Last ChristmasWham!,45.5
2017,1,Rockin' Around The Christmas TreeBrenda Lee,27.0
2017,1,The Christmas Song (Merry Christmas To You)Nat King Cole,47.0
